,name,n_qubits,gadgets,UCCSD-set (cx),UCCSD-set (depth),pauli-steiner-gray-synth (cx),pauli-steiner-gray-synth (depth),architecture-aware-UCCSD-set (cx),architecture-aware-UCCSD-set (depth)
0,H2_P_sto3g,2,4,\textbf{4 (0.00)},20 (-122.22),\textbf{4 (0.00)},\textbf{9 (0.00)},\textbf{4 (0.00)},\textbf{9 (0.00)}
1,H2_P_631g,6,158,809 (40.34),662 (61.22),540 (60.18),843 (50.62),\textbf{531 (60.84)},\textbf{498 (70.83)}
2,H4_P_sto3g,6,164,820 (40.92),664 (62.21),\textbf{566 (59.22)},884 (49.69),606 (56.34),\textbf{535 (69.55)}
3,NH_P_sto3g,10,630,9727 (-3.88),4729 (56.37),\textbf{2030 (78.32)},\textbf{3116 (71.25)},7303 (22.01),4565 (57.89)
4,LiH_P_sto3g,10,630,9727 (-3.88),4729 (56.37),\textbf{2030 (78.32)},\textbf{3116 (71.25)},7303 (22.01),4565 (57.89)
5,H2O_P_sto3g,12,1085,21783 (-10.03),9122 (59.40),\textbf{4642 (76.55)},\textbf{6260 (72.14)},14989 (24.29),7626 (66.06)
6,BeH2_P_sto3g,12,1085,22450 (-13.35),9258 (58.81),\textbf{4766 (75.94)},\textbf{6246 (72.21)},14866 (24.94),7503 (66.62)
7,CH2_P_sto3g,12,2109,39439 (-2.18),16475 (62.47),\textbf{4716 (87.78)},\textbf{7894 (82.02)},28609 (25.88),14865 (66.13)
8,H4_P_631g,14,2912,48980 (21.54),19733 (71.85),\textbf{8920 (85.71)},\textbf{13054 (81.38)},42132 (32.51),18977 (72.93)
9,H8_P_sto3g,14,5792,101769 (18.29),41715 (70.17),\textbf{10652 (91.45)},\textbf{18538 (86.74)},90113 (27.65),39063 (72.07)
10,NH3_P_sto3g,14,5792,101769 (18.29),41715 (70.17),\textbf{10652 (91.45)},\textbf{18538 (86.74)},90113 (27.65),39063 (72.07)
